Score,Win,Ghosts,Time,Agent
311.0,False,4,843,ExpectimaxAgent
-401.0,False,4,52,ExpectimaxAgent
-365.0,False,4,73,ExpectimaxAgent
194.0,False,4,477,ExpectimaxAgent
-401.0,False,4,52,ExpectimaxAgent
-253.0,False,4,164,ExpectimaxAgent
45.0,False,4,374,ExpectimaxAgent
-169.0,False,4,194,ExpectimaxAgent
-162.0,False,4,259,ExpectimaxAgent
-158.0,False,4,240,ExpectimaxAgent
-279.0,False,4,144,ExpectimaxAgent
-383.0,False,4,62,ExpectimaxAgent
344.0,False,4,929,ExpectimaxAgent
337.0,False,4,913,ExpectimaxAgent
1098.0,False,4,1858,ExpectimaxAgent
1125.0,False,4,1473,ExpectimaxAgent
-288.0,False,4,139,ExpectimaxAgent
840.0,False,4,1299,ExpectimaxAgent
294.0,False,4,1030,ExpectimaxAgent
178.0,False,4,459,ExpectimaxAgent
-235.0,False,4,174,ExpectimaxAgent
145.0,False,4,473,ExpectimaxAgent
-233.0,False,4,162,ExpectimaxAgent
596.0,False,4,1267,ExpectimaxAgent
915.0,False,4,1074,ExpectimaxAgent
-54.0,False,4,268,ExpectimaxAgent
-401.0,False,4,52,ExpectimaxAgent
455.0,False,4,924,ExpectimaxAgent
94.0,False,4,378,ExpectimaxAgent
-366.0,False,4,78,ExpectimaxAgent
166.0,False,4,419,MiniMaxAgent
-133.0,False,4,212,MiniMaxAgent
374.0,False,4,777,MiniMaxAgent
139.0,False,4,454,MiniMaxAgent
10.0,False,4,298,MiniMaxAgent
-206.0,False,4,177,MiniMaxAgent
-199.0,False,4,194,MiniMaxAgent
-393.0,False,4,1413,MiniMaxAgent
-102.0,False,4,258,MiniMaxAgent
-288.0,False,4,139,MiniMaxAgent
538.0,False,4,757,MiniMaxAgent
39.0,False,4,354,MiniMaxAgent
-574.0,False,4,2318,MiniMaxAgent
389.0,False,4,704,MiniMaxAgent
-401.0,False,4,52,MiniMaxAgent
96.0,False,4,468,MiniMaxAgent
381.0,False,4,1092,MiniMaxAgent
-169.0,False,4,194,MiniMaxAgent
-216.0,False,4,179,MiniMaxAgent
-401.0,False,4,53,MiniMaxAgent
-218.0,False,4,189,MiniMaxAgent
403.0,False,4,834,MiniMaxAgent
-215.0,False,4,174,MiniMaxAgent
-168.0,False,4,189,MiniMaxAgent
302.0,False,4,738,MiniMaxAgent
-374.0,False,4,67,MiniMaxAgent
-401.0,False,4,52,MiniMaxAgent
-137.0,False,4,233,MiniMaxAgent
-142.0,False,4,458,MiniMaxAgent
-348.0,False,4,88,MiniMaxAgent
